,title,author,journal,citation,year,link
0,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"C de Chaisemartin, X D’Haultfœuille","American Economic Review 110 (9), 2964-2996",3639,,https://scholar.google.com/scholar?oi=bibs&cluster=862776664892752482&btnI=1&hl=en
1,"Bartik Instruments: What, When, Why, and How","P Goldsmith-Pinkham, I Sorkin, H Swift","American Economic Review 110 (8), 2586-2624",2027,,https://scholar.google.com/scholar?oi=bibs&cluster=6025324097129642737&btnI=1&hl=en
2,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"V Guerrieri, G Lorenzoni, L Straub, I Werning","American Economic Review 112 (5), 1437-1474",1594,,https://scholar.google.com/scholar?oi=bibs&cluster=9888486504118130049&btnI=1&hl=en
3,Importing Political Polarization? The Electoral Consequences of Rising Trade Exposure,"D Autor, D Dorn, G Hanson, K Majlesi","American Economic Review 110 (10), 3139-3183",1515,,https://scholar.google.com/scholar?oi=bibs&cluster=15986250801386783392&btnI=1&hl=en
4,Are Ideas Getting Harder to Find?,"N Bloom, CI Jones, J Van Reenen, M Webb","American Economic Review 110 (4), 1104-1144",1318,,https://scholar.google.com/scholar?oi=bibs&cluster=3018014524650332359&btnI=1&hl=en
5,Monetary Policy and the Redistribution Channel,A Auclert,"American Economic Review 109 (6), 2333-2367",1222,,https://scholar.google.com/scholar?oi=bibs&cluster=6988943764139176224&btnI=1&hl=en
6,Public Debt and Low Interest Rates,O Blanchard,"American Economic Review 109 (4), 1197-1229",1208,,https://scholar.google.com/scholar?oi=bibs&cluster=7723070950801717557&btnI=1&hl=en
7,The Welfare Effects of Social Media,"H Allcott, L Braghieri, S Eichmeyer, M Gentzkow","American Economic Review 110 (3), 629-676",958,,https://scholar.google.com/scholar?oi=bibs&cluster=16668049234927862455&btnI=1&hl=en
8,Vulnerable Growth,"T Adrian, N Boyarchenko, D Giannone","American Economic Review 109 (4), 1263-1289",890,,https://scholar.google.com/scholar?oi=bibs&cluster=11648302862401824892&btnI=1&hl=en
9,Climate Change: The Ultimate Challenge for Economics,W Nordhaus,"American Economic Review 109 (6), 1991-2014",883,,https://scholar.google.com/scholar?oi=bibs&cluster=12517043327371204014&btnI=1&hl=en
10,Does Diversity Matter for Health? Experimental Evidence from Oakland,"M Alsan, O Garrick, G Graziani","American Economic Review 109 (12), 4071-4111",824,,https://scholar.google.com/scholar?oi=bibs&cluster=17083718943580063312&btnI=1&hl=en
11,Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,"C Baumeister, JD Hamilton","American Economic Review 109 (5), 1873-1910",809,,https://scholar.google.com/scholar?oi=bibs&cluster=7089032603206467862&btnI=1&hl=en
12,Tax Evasion and Inequality,"A Alstadsæter, N Johannesen, G Zucman","American Economic Review 109 (6), 2073-2103",808,,https://scholar.google.com/scholar?oi=bibs&cluster=15913850460918798534&btnI=1&hl=en
13,Synthetic Difference-in-Differences,"D Arkhangelsky, S Athey, DA Hirshberg, GW Imbens, S Wager","American Economic Review 111 (12), 4088-4118",657,,https://scholar.google.com/scholar?oi=bibs&cluster=12715799468607190008&btnI=1&hl=en
14,Did Austerity Cause Brexit?,T Fetzer,"American Economic Review 109 (11), 3849-3886",651,,https://scholar.google.com/scholar?oi=bibs&cluster=15293551651067060563&btnI=1&hl=en
15,The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,"T Deryugina, G Heutel, NH Miller, D Molitor, J Reif","American Economic Review 109 (12), 4178-4219",645,,https://scholar.google.com/scholar?oi=bibs&cluster=9956559896196312642&btnI=1&hl=en
16,"Capital Accumulation, Private Property, and Rising Inequality in China, 1978–2015","T Piketty, L Yang, G Zucman","American Economic Review 109 (7), 2469-2496",630,,https://scholar.google.com/scholar?oi=bibs&cluster=6272248175109846175&btnI=1&hl=en
17,The Arrival of Fast Internet and Employment in Africa,"J Hjort, J Poulsen","American Economic Review 109 (3), 1032-1079",628,,https://scholar.google.com/scholar?oi=bibs&cluster=15627505701710630789&btnI=1&hl=en
18,Nonrivalry and the Economics of Data,"CI Jones, C Tonetti","American Economic Review 110 (9), 2819-2858",593,,https://scholar.google.com/scholar?oi=bibs&cluster=13903708099881446429&btnI=1&hl=en
19,The New Tools of Monetary Policy,BS Bernanke,"American Economic Review 110 (4), 943-983",574,,https://scholar.google.com/scholar?oi=bibs&cluster=11026474833494705719&btnI=1&hl=en
20,Overreaction in Macroeconomic Expectations,"P Bordalo, N Gennaioli, Y Ma, A Shleifer","American Economic Review 110 (9), 2748-2782",564,,https://scholar.google.com/scholar?oi=bibs&cluster=17358078911292301516&btnI=1&hl=en
21,Dominant Currency Paradigm,"G Gopinath, E Boz, C Casas, FJ Díez, PO Gourinchas, M Plagborg-Møller","American Economic Review 110 (3), 677-719",562,,https://scholar.google.com/scholar?oi=bibs&cluster=18282489374348960097&btnI=1&hl=en
22,Disrupting Education? Experimental Evidence on Technology-Aided Instruction in India,"K Muralidharan, A Singh, AJ Ganimian","American Economic Review 109 (4), 1426-1460",540,,https://scholar.google.com/scholar?oi=bibs&cluster=8735363376650065782&btnI=1&hl=en
23,"Trade, Migration, and Productivity: A Quantitative Analysis of China","T Tombe, X Zhu","American Economic Review 109 (5), 1843-1872",535,,https://scholar.google.com/scholar?oi=bibs&cluster=15528484260096069350&btnI=1&hl=en
24,Misperceived Social Norms: Women Working Outside the Home in Saudi Arabia,"L Bursztyn, AL González, D Yanagizawa-Drott","American Economic Review 110 (10), 2997-3029",526,,https://scholar.google.com/scholar?oi=bibs&cluster=14919923398204415281&btnI=1&hl=en
25,"The Effects of Rent Control Expansion on Tenants, Landlords, and Inequality: Evidence from San Francisco","R Diamond, T McQuade, F Qian","American Economic Review 109 (9), 3365-3394",504,,https://scholar.google.com/scholar?oi=bibs&cluster=4042197474543312414&btnI=1&hl=en
26,"Social Media, News Consumption, and Polarization: Evidence from a Field Experiment",R Levy,"American Economic Review 111 (3), 831-870",495,,https://scholar.google.com/scholar?oi=bibs&cluster=389176343555385648&btnI=1&hl=en
27,What Drives Differences in Management Practices?,"N Bloom, E Brynjolfsson, L Foster, R Jarmin, M Patnaik, I Saporta-Eksten, ...","American Economic Review 109 (5), 1648-1683",494,,https://scholar.google.com/scholar?oi=bibs&cluster=17084598384585587287&btnI=1&hl=en
28,Estimating the Production Function for Human Capital: Results from a Randomized Controlled Trial in Colombia,"O Attanasio, S Cattan, E Fitzsimons, C Meghir, M Rubio-Codina","American Economic Review 110 (1), 48-85",489,,https://scholar.google.com/scholar?oi=bibs&cluster=16260605395966298252&btnI=1&hl=en
29,Who Pays for the Minimum Wage?,"P Harasztosi, A Lindner","American Economic Review 109 (8), 2693-2727",487,,https://scholar.google.com/scholar?oi=bibs&cluster=2858482093179462298&btnI=1&hl=en
30,Valid t-ratio Inference for IV,"DS Lee, J McCrary, MJ Moreira, J Porter","American Economic Review 112 (10), 3260-3290",480,,https://scholar.google.com/scholar?oi=bibs&cluster=11468648261964759006&btnI=1&hl=en
31,Consumers as Tax Auditors,J Naritomi,"American Economic Review 109 (9), 3031-3072",480,,https://scholar.google.com/scholar?oi=bibs&cluster=18006735313232429948&btnI=1&hl=en
32,Rural Roads and Local Economic Development,"S Asher, P Novosad","American Economic Review 110 (3), 797-823",473,,https://scholar.google.com/scholar?oi=bibs&cluster=5127984611909771024&btnI=1&hl=en
33,Labor Market Power,"D Berger, K Herkenhoff, S Mongey","American Economic Review 112 (4), 1147-1193",473,,https://scholar.google.com/scholar?oi=bibs&cluster=4346587636218116648&btnI=1&hl=en
34,Identification of and Correction for Publication Bias,"I Andrews, M Kasy","American Economic Review 109 (8), 2766-2794",472,,https://scholar.google.com/scholar?oi=bibs&cluster=3999172799652155817&btnI=1&hl=en
35,"Artificial Intelligence, Algorithmic Pricing, and Collusion","E Calvano, G Calzolari, V Denicolò, S Pastorello","American Economic Review 110 (10), 3267-3297",470,,https://scholar.google.com/scholar?oi=bibs&cluster=3402643843168896907&btnI=1&hl=en
36,Some Causal Effects of an Industrial Policy,"C Criscuolo, R Martin, HG Overman, J Van Reenen","American Economic Review 109 (1), 48-85",467,,https://scholar.google.com/scholar?oi=bibs&cluster=3301607981272124126&btnI=1&hl=en
37,Five Facts about Beliefs and Portfolios,"S Giglio, M Maggiori, J Stroebel, S Utkus","American Economic Review 111 (5), 1481-1522",449,,https://scholar.google.com/scholar?oi=bibs&cluster=8437452101588960048&btnI=1&hl=en
38,Beliefs about Gender,"P Bordalo, K Coffman, N Gennaioli, A Shleifer","American Economic Review 109 (3), 739-773",445,,https://scholar.google.com/scholar?oi=bibs&cluster=1740709687808141068&btnI=1&hl=en
39,Consumer Spending during Unemployment: Positive and Normative Implications,"P Ganong, P Noel","American Economic Review 109 (7), 2383-2424",444,,https://scholar.google.com/scholar?oi=bibs&cluster=623619373493847626&btnI=1&hl=en
40,Supply and Demand in Disaggregated Keynesian Economies with an Application to the COVID-19 Crisis,"D Baqaee, E Farhi","American Economic Review 112 (5), 1397-1436",420,,https://scholar.google.com/scholar?oi=bibs&cluster=17446723941381402215&btnI=1&hl=en
41,A Spatial Knowledge Economy,"DR Davis, JI Dingel","American Economic Review 109 (1), 153-170",403,,https://scholar.google.com/scholar?oi=bibs&cluster=94920269298196641&btnI=1&hl=en
42,How Do Patents Affect Follow-On Innovation? Evidence from the Human Genome,"B Sampat, HL Williams","American Economic Review 109 (1), 203-236",390,,https://scholar.google.com/scholar?oi=bibs&cluster=17335707784476965279&btnI=1&hl=en
